Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.534420,0.578960,0.534420,0.570050,0.036745,2178045
2000-01-04,0.574510,0.610130,0.574510,0.610130,0.039328,1414607
2000-01-05,0.570050,0.605680,0.570050,0.592320,0.038180,1526877
2000-01-06,0.605680,0.605680,0.592320,0.596770,0.038467,426627
2000-01-07,0.596770,0.596770,0.596770,0.596770,0.038467,0
2000-01-10,0.596770,0.596770,0.596770,0.596770,0.038467,0
2000-01-11,0.619040,0.659120,0.619040,0.650220,0.041913,3660014
2000-01-12,0.645760,0.694750,0.645760,0.681390,0.043922,2380132
2000-01-13,0.694750,0.708110,0.681390,0.685840,0.044209,3031300
2000-01-14,0.690300,0.694750,0.685840,0.690300,0.044496,1773872
2000-01-17,0.708110,0.739290,0.708110,0.721470,0.046505,4311183
2000-01-18,0.721470,0.748190,0.717020,0.721470,0.046505,2716943
2000-01-19,0.717020,0.730380,0.712570,0.730380,0.047080,1257428
2000-01-20,0.734830,0.734830,0.708110,0.721470,0.046505,606260
2000-01-21,0.712570,0.721470,0.703660,0.703660,0.045357,808347
2000-01-24,0.717020,0.734830,0.690300,0.690300,0.044496,1437061
2000-01-25,0.690300,0.708110,0.690300,0.703660,0.045357,875709
2000-01-26,0.699200,0.743740,0.699200,0.743740,0.047941,2402586
2000-01-27,0.757100,0.779370,0.743740,0.757100,0.048802,1908596
2000-01-28,0.761550,0.770460,0.748190,0.748190,0.048228,740985
2000-01-31,0.743740,0.752650,0.734830,0.739290,0.047654,965525
2000-02-01,0.739290,0.739290,0.739290,0.739290,0.047654,0
2000-02-02,0.743740,0.752650,0.743740,0.752650,0.048515,898163
2000-02-03,0.757100,0.815000,0.757100,0.815000,0.052534,1414607
2000-02-04,0.815000,0.815000,0.815000,0.815000,0.052534,0
2000-02-07,0.815000,0.815000,0.815000,0.815000,0.052534,0
2000-02-08,0.823900,0.850630,0.783820,0.783820,0.050524,3008846
2000-02-09,0.498800,0.578960,0.498800,0.565600,0.038942,7791564
2000-02-10,0.565600,0.574510,0.534420,0.534420,0.036795,4558177
2000-02-11,0.538880,0.552240,0.525520,0.529970,0.036489,2020867
2000-02-14,0.529970,0.552240,0.507700,0.534420,0.036795,2672035
2000-02-15,0.534420,0.538880,0.516610,0.521060,0.035876,3907009
2000-02-16,0.516610,0.534420,0.512160,0.534420,0.036795,4221366
2000-02-17,0.538880,0.538880,0.521060,0.525520,0.036183,1257428
2000-02-18,0.534420,0.534420,0.525520,0.534420,0.036795,2065775
2000-02-21,0.525520,0.534420,0.521060,0.525520,0.036183,2806760
2000-02-22,0.525520,0.534420,0.525520,0.534420,0.036795,2537311
2000-02-23,0.534420,0.534420,0.529970,0.534420,0.036795,808347
2000-02-24,0.534420,0.534420,0.529970,0.534420,0.036795,1931051
2000-02-25,0.534420,0.534420,0.529970,0.529970,0.036489,2043321
